"filename", "language", "JSON", "Markdown", "TypeScript", "JavaScript", "XML", "SCSS", "CSS", "HTML", "comment", "blank", "total"
"/home/bojan/codeStuff/MATURSKI2.0/frontend/HaveFun/src/app/auth/signupwelcome-interceptor.service.ts", "TypeScript", 0, 0, 22, 0, 0, 0, 0, 0, 0, 4, 26
"/home/bojan/codeStuff/MATURSKI2.0/frontend/HaveFun/src/app/auth/signupwelcome/signupwelcome.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 24, 0, 1, 25
"/home/bojan/codeStuff/MATURSKI2.0/frontend/HaveFun/src/app/auth/signupwelcome/signupwelcome.component.scss", "SCSS", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"/home/bojan/codeStuff/MATURSKI2.0/frontend/HaveFun/src/app/auth/signupwelcome/signupwelcome.component.ts", "TypeScript", 0, 0, 36, 0, 0, 0, 0, 0, 0, 4, 40
"/home/bojan/codeStuff/MATURSKI2.0/frontend/HaveFun/src/app/auth/user.model.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 2, 12
"/home/bojan/codeStuff/MATURSKI2.0/frontend/HaveFun/src/app/header/header.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 84, 47, 10, 141
"/home/bojan/codeStuff/MATURSKI2.0/frontend/HaveFun/src/app/header/header.component.scss", "SCSS", 0, 0, 0, 0, 0, 24, 0, 0, 1, 12, 37
"/home/bojan/codeStuff/MATURSKI2.0/frontend/HaveFun/src/app/header/header.component.spec.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 6, 26
"/home/bojan/codeStuff/MATURSKI2.0/frontend/HaveFun/src/app/header/header.component.ts", "TypeScript", 0, 0, 46, 0, 0, 0, 0, 0, 1, 10, 57
"/home/bojan/codeStuff/MATURSKI2.0/frontend/HaveFun/src/app/posts/comment.model.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 1, 10
"/home/bojan/codeStuff/MATURSKI2.0/frontend/HaveFun/src/app/posts/comments.model.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 2, 10
"/home/bojan/codeStuff/MATURSKI2.0/frontend/HaveFun/src/app/posts/fresh/fresh.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 37, 7, 1, 45
"/home/bojan/codeStuff/MATURSKI2.0/frontend/HaveFun/src/app/posts/fresh/fresh.component.scss", "SCSS", 0, 0, 0, 0, 0, 8, 0, 0, 0, 1, 9
"/home/bojan/codeStuff/MATURSKI2.0/frontend/HaveFun/src/app/posts/fresh/fresh.component.spec.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 6, 26
"/home/bojan/codeStuff/MATURSKI2.0/frontend/HaveFun/src/app/posts/fresh/fresh.component.ts", "TypeScript", 0, 0, 96, 0, 0, 0, 0, 0, 13, 19, 128
"/home/bojan/codeStuff/MATURSKI2.0/frontend/HaveFun/src/app/posts/fresh/freshComments/freshComment.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 48, 0, 3, 51
"/home/bojan/codeStuff/MATURSKI2.0/frontend/HaveFun/src/app/posts/fresh/freshComments/freshComment.component.scss", "SCSS", 0, 0, 0, 0, 0, 17, 0, 0, 0, 2, 19
"/home/bojan/codeStuff/MATURSKI2.0/frontend/HaveFun/src/app/posts/fresh/freshComments/freshComment.component.ts", "TypeScript", 0, 0, 99, 0, 0, 0, 0, 0, 12, 15, 126
"/home/bojan/codeStuff/MATURSKI2.0/frontend/HaveFun/src/app/posts/image.model.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 1, 14
"/home/bojan/codeStuff/MATURSKI2.0/frontend/HaveFun/src/app/posts/new/new.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 52, 2, 5, 59
"/home/bojan/codeStuff/MATURSKI2.0/frontend/HaveFun/src/app/posts/new/new.component.scss", "SCSS", 0, 0, 0, 0, 0, 10, 0, 0, 3, 6, 19
"/home/bojan/codeStuff/MATURSKI2.0/frontend/HaveFun/src/app/posts/new/new.component.ts", "TypeScript", 0, 0, 47, 0, 0, 0, 0, 0, 19, 16, 82
"/home/bojan/codeStuff/MATURSKI2.0/frontend/HaveFun/src/app/posts/popular/popular.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"/home/bojan/codeStuff/MATURSKI2.0/frontend/HaveFun/src/app/posts/popular/popular.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/bojan/codeStuff/MATURSKI2.0/frontend/HaveFun/src/app/posts/popular/popular.component.spec.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 6, 26
