"filename", "language", "SCSS", "TypeScript", "HTML", "CSS", "comment", "blank", "total"
"/home/bojan/codeStuff/MATURSKI2.0/frontend/HaveFun/src/app/posts/fresh/freshComments/freshComment.component.scss", "SCSS", 0, 0, 0, 0, 0, 1, 1
"/home/bojan/codeStuff/MATURSKI2.0/frontend/HaveFun/src/app/posts/fresh/freshComments/freshComment.component.ts", "TypeScript", 0, 8, 0, 0, 0, 3, 11
"/home/bojan/codeStuff/MATURSKI2.0/frontend/HaveFun/src/app/posts/image.model.ts", "TypeScript", 0, 13, 0, 0, 0, 1, 14
"/home/bojan/codeStuff/MATURSKI2.0/frontend/HaveFun/src/app/posts/new/new.component.html", "HTML", 0, 0, 52, 0, 2, 5, 59
"/home/bojan/codeStuff/MATURSKI2.0/frontend/HaveFun/src/app/posts/new/new.component.scss", "SCSS", 10, 0, 0, 0, 3, 6, 19
"/home/bojan/codeStuff/MATURSKI2.0/frontend/HaveFun/src/app/posts/new/new.component.ts", "TypeScript", 0, 47, 0, 0, 19, 16, 82
"/home/bojan/codeStuff/MATURSKI2.0/frontend/HaveFun/src/app/posts/popular/popular.component.html", "HTML", 0, 0, 1, 0, 0, 1, 2
"/home/bojan/codeStuff/MATURSKI2.0/frontend/HaveFun/src/app/posts/popular/popular.component.scss", "SCSS", 0, 0, 0, 0, 0, 1, 1
"/home/bojan/codeStuff/MATURSKI2.0/frontend/HaveFun/src/app/posts/popular/popular.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 6, 26
"/home/bojan/codeStuff/MATURSKI2.0/frontend/HaveFun/src/app/posts/popular/popular.component.ts", "TypeScript", 0, 11, 0, 0, 0, 5, 16
"/home/bojan/codeStuff/MATURSKI2.0/frontend/HaveFun/src/app/posts/post.model.ts", "TypeScript", 0, 31, 0, 0, 0, 3, 34
"/home/bojan/codeStuff/MATURSKI2.0/frontend/HaveFun/src/app/posts/posts.component.html", "HTML", 0, 0, 1, 0, 27, 0, 28
"/home/bojan/codeStuff/MATURSKI2.0/frontend/HaveFun/src/app/posts/posts.component.scss", "SCSS", 0, 0, 0, 0, 0, 1, 1
"/home/bojan/codeStuff/MATURSKI2.0/frontend/HaveFun/src/app/posts/posts.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 6, 26
"/home/bojan/codeStuff/MATURSKI2.0/frontend/HaveFun/src/app/posts/posts.component.ts", "TypeScript", 0, 12, 0, 0, 0, 6, 18
"/home/bojan/codeStuff/MATURSKI2.0/frontend/HaveFun/src/app/posts/posts.module.ts", "TypeScript", 0, 33, 0, 0, 0, 5, 38
"/home/bojan/codeStuff/MATURSKI2.0/frontend/HaveFun/src/app/posts/posts.router.module.ts", "TypeScript", 0, 24, 0, 0, 0, 5, 29
"/home/bojan/codeStuff/MATURSKI2.0/frontend/HaveFun/src/app/posts/posts.service.ts", "TypeScript", 0, 74, 0, 0, 21, 20, 115
"/home/bojan/codeStuff/MATURSKI2.0/frontend/HaveFun/src/app/posts/trending/trending.component.html", "HTML", 0, 0, 1, 0, 0, 1, 2
"/home/bojan/codeStuff/MATURSKI2.0/frontend/HaveFun/src/app/posts/trending/trending.component.scss", "SCSS", 0, 0, 0, 0, 0, 1, 1
"/home/bojan/codeStuff/MATURSKI2.0/frontend/HaveFun/src/app/posts/trending/trending.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 6, 26
"/home/bojan/codeStuff/MATURSKI2.0/frontend/HaveFun/src/app/posts/trending/trending.component.ts", "TypeScript", 0, 12, 0, 0, 0, 5, 17
"/home/bojan/codeStuff/MATURSKI2.0/frontend/HaveFun/src/app/posts/whoUpvoted.model.ts", "TypeScript", 0, 7, 0, 0, 0, 1, 8
"/home/bojan/codeStuff/MATURSKI2.0/frontend/HaveFun/src/app/shared/confirmEqualValidator.directive.ts", "TypeScript", 0, 20, 0, 0, 1, 4, 25
"/home/bojan/codeStuff/MATURSKI2.0/frontend/HaveFun/src/app/shared/loading-spiner/loading-spinner.component.css", "CSS", 0, 0, 0, 84, 0, 0, 84
"/home/bojan/codeStuff/MATURSKI2.0/frontend/HaveFun/src/app/shared/loading-spiner/loading-spinner.component.ts", "TypeScript", 0, 8, 0, 0, 0, 4, 12
"/home/bojan/codeStuff/MATURSKI2.0/frontend/HaveFun/src/app/shared/shared.module.ts", "TypeScript", 0, 20, 0, 0, 0, 6, 26
"Total", "-", 87, 1456, 770, 84, 181, 371, 2949
